from,to,relation,weight
TH,VfB,1,3
TH,GZ,3,1
TH,UA,3,1
TH,BMH,3,1
TH,DAFK,2,1
TH,SH,5,3
TH,JR,5,3
TH,OS,5,3
TH,CV,5,2
TH,WP,5,2
TH,RA,5,2
TH,HJ,5,2
TH,HO,5,2
TH,FR,5,2
TH,BS,5,2
SH,VfB,1,1
SH,VR,4,2
SH,SNP,4,1
SH,VM,4,2
SH,VB,1,2
SH,WF,4,1
SH,TH,5,3
SH,JR,5,3
SH,OS,5,3
SH,CV,5,2
SH,WP,5,2
SH,RA,5,2
SH,BG,5,2
SH,HJ,5,2
SH,HO,5,2
SH,FR,5,2
SH,BS,5,2
JR,VfB,1,3
JR,VM,4,2
JR,TH,5,3
JR,SH,5,3
JR,OS,5,3
JR,CV,5,2
JR,WP,5,2
JR,RA,5,2
JR,BG,5,2
JR,HJ,5,2
JR,HO,5,2
JR,FR,5,2
JR,BS,5,2
OS,VfB,1,3
OS,KC,2,1
OS,TH,5,3
OS,SH,5,3
OS,JR,5,3
OS,CV,5,2
OS,WP,5,2
OS,RA,5,2
OS,BG,5,2
OS,HJ,5,2
OS,HO,5,2
OS,FR,5,2
OS,BS,5,2
CV,VfB,1,3
CV,IGH,4,1
CV,FC,3,1
CV,TH,5,2
CV,SH,5,2
CV,JR,5,2
CV,OS,5,2
CV,WP,5,3
CV,RA,5,3
CV,BG,5,3
CV,HJ,5,3
CV,HO,5,3
CV,FR,5,3
CV,BS,5,3
WP,VfB,1,3
WP,DA,4,1
WP,TH,5,2
WP,SH,5,2
WP,JR,5,2
WP,OS,5,2
WP,CV,5,3
WP,RA,5,3
WP,BG,5,3
WP,HJ,5,3
WP,HO,5,3
WP,FR,5,3
WP,BS,5,3
RA,VfB,1,3
RA,TH,5,2
RA,SH,5,2
RA,JR,5,2
RA,OS,5,2
RA,CV,5,3
RA,WP,5,3
RA,BG,5,3
RA,HJ,5,3
RA,HO,5,3
RA,FR,5,3
RA,BS,5,3
BG,VfB,1,3
BG,TH,5,2
BG,SH,5,2
BG,JR,5,2
BG,OS,5,2
BG,CV,5,3
BG,WP,5,3
BG,RA,5,3
BG,HJ,5,3
BG,HO,5,3
BG,FR,5,3
BG,BS,5,3
HJ,VfB,1,3
HJ,KA,4,1
HJ,AKF,3,1
HJ,TH,5,2
HJ,SH,5,2
HJ,JR,5,2
HJ,OS,5,2
HJ,CV,5,3
HJ,WP,5,3
HJ,RA,5,3
HJ,BG,5,3
HJ,HO,5,3
HJ,FR,5,3
HJ,BS,5,3
HO,VfB,1,3
HO,TH,5,2
HO,SH,5,2
HO,JR,5,2
HO,OS,5,2
HO,CV,5,3
HO,WP,5,3
HO,RA,5,3
HO,BG,5,3
HO,FR,5,3
HO,HJ,5,3
HO,BS,5,3
FR,VfB,1,3
FR,DAM,4,1
FR,TH,5,2
FR,SH,5,2
FR,JR,5,2
FR,OS,5,2
FR,CV,5,3
FR,WP,5,3
FR,RA,5,3
FR,BG,5,3
FR,HJ,5,3
FR,HO,5,3
FR,BS,5,3
BS,VfB,1,3
BS,RB,4,1
BS,TH,5,2
BS,SH,5,2
BS,JR,5,2
BS,OS,5,2
BS,CV,5,3
BS,WP,5,3
BS,RA,5,3
BS,BG,5,3
BS,HJ,5,3
BS,HO,5,3
BS,FR,5,3
